DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,Cost Savings (RM),Cumulative Cost Savings (RM),Negative Cost Savings Flag
2025-04-22 16:30:00,2244.4,2825.1262,580.7262000000001,290.36310000000003,7505489.319153609,0,105.98253150000001,2739503.6014911,0
2025-04-22 17:00:00,2123.0,2829.6938,706.6938,353.3469,7505842.666053609,0,128.9716185,2739632.5731096,0
2025-04-22 17:30:00,1981.4,2825.6953,844.2952999999998,422.1476499999999,7506264.813703609,0,154.08389224999996,2739786.65700185,0
2025-04-22 18:00:00,1303.2,2832.6719,1529.4718999999998,764.7359499999999,7507029.549653608,0,279.12862175,2740065.7856236002,0
2025-04-22 18:30:00,982.4,2826.4348,1844.0348,922.0174,7507951.567053609,0,336.53635099999997,2740402.3219746,0
2025-04-22 19:00:00,1330.6,2821.7075,1491.1075,745.55375,7508697.120803609,0,272.12711875,2740674.44909335,0
2025-04-22 19:30:00,1128.4,2816.4707,1688.0706999999998,844.0353499999999,7509541.156153608,0,308.07290274999997,2740982.5219961004,0
2025-04-22 20:00:00,1241.2,3041.0537,1799.8537,899.92685,7510441.083003608,0,328.47330024999997,2741310.99529635,0
2025-04-22 20:30:00,897.4,3005.7385,2108.3385,1054.16925,7511495.252253609,0,384.77177624999996,2741695.7670726003,0
2025-04-22 21:00:00,1498.6,2801.3367,1302.7367,651.36835,7512146.620603609,0,237.74944774999997,2741933.5165203502,0
2025-04-22 21:30:00,1007.0,2778.3232,1771.3231999999998,885.6615999999999,7513032.282203609,0,323.26648399999993,2742256.78300435,0
2025-04-22 22:00:00,738.8,2762.3398,2023.5398,1011.7699,7514044.052103609,0,369.2960135,2742626.07901785,0
2025-04-22 22:30:00,1011.0,2858.869,1847.869,923.9345,7514967.986603609,0,337.2360925,2742963.31511035,0
2025-04-22 23:00:00,805.4,2832.606,2027.206,1013.603,7515981.589603609,0,369.96509499999996,2743333.28020535,0
2025-04-22 23:30:00,517.0,2703.6482,2186.6482,1093.3241,7517074.913703609,0,399.0632965,2743732.34350185,0
2025-04-23 00:00:00,871.0,2665.1938,1794.1938,897.0969,7517972.0106036095,0,327.4403685,2744059.78387035,0
2025-04-23 00:30:00,639.4,2850.113,2210.713,1105.3565,7519077.367103609,0,403.4551225,2744463.2389928503,0
2025-04-23 01:00:00,713.8,2646.8013,1933.0013,966.50065,7520043.867753609,0,352.77273725,2744816.0117301005,0
2025-04-23 01:30:00,421.8,2616.7542,2194.9542,1097.4770999999998,7521141.344853609,0,400.57914149999993,2745216.5908716004,0
2025-04-23 02:00:00,558.2,2594.134,2035.934,1017.967,7522159.311853609,0,371.557955,2745588.1488266005,0
2025-04-23 02:30:00,670.2,2207.2158,1537.0158,768.5079,7522927.819753609,0,280.5053835,2745868.6542101004,0
2025-04-23 03:00:00,561.4,2397.4858,1836.0858,918.0429,7523845.862653608,0,335.0856585,2746203.7398686004,0
2025-04-23 03:30:00,572.4,2652.5476,2080.1476,1040.0738,7524885.936453609,0,379.62693699999994,2746583.3668056005,0
2025-04-23 04:00:00,486.6,2596.7644,2110.1644,1055.0822,7525941.018653609,0,385.105003,2746968.4718086002,0
2025-04-23 04:30:00,405.2,2620.4448,2215.2448000000004,1107.6224000000002,7527048.641053609,0,404.28217600000005,2747372.7539846003,0
2025-04-23 05:00:00,505.6,2573.5095,2067.9095,1033.95475,7528082.595803608,0,377.39348375000003,2747750.1474683504,0
2025-04-23 05:30:00,576.6,2128.3386,1551.7386,775.8693000000001,7528858.465103609,0,283.1922945,2748033.33976285,0
2025-04-23 06:00:00,556.6,2358.686,1802.086,901.043,7529759.508103608,0,328.880695,2748362.22045785,0
2025-04-23 06:30:00,817.6,2260.2175,1442.6175000000003,721.3087500000001,7530480.816853608,0,263.27769375,2748625.4981516,0
2025-04-23 07:00:00,1268.8,2607.751,1338.9510000000002,669.4755000000001,7531150.292353608,0,244.35855750000005,2748869.8567091,0
2025-04-23 07:30:00,2025.2,2635.7075,610.5074999999999,305.25375,7531455.546103608,0,111.41761875,2748981.27432785,0
2025-04-23 08:00:00,2836.0,2616.6064,-219.39359999999988,-109.69679999999994,7531345.849303608,1,-40.03933199999998,2748941.23499585,1
2025-04-23 08:30:00,2459.6,2678.2847,218.68470000000025,109.34235000000012,7531455.191653607,0,39.909957750000046,2748981.1449535997,0
2025-04-23 09:00:00,2594.0,2654.3062,60.30619999999999,30.153099999999995,7531485.344753607,0,11.005881499999997,2748992.1508350996,0
2025-04-23 09:30:00,3082.8,2672.1472,-410.6528000000003,-205.32640000000012,7531280.018353607,1,-74.94413600000004,2748917.2066991,1
2025-04-23 10:00:00,2851.2,2663.8083,-187.39169999999967,-93.69584999999984,7531186.322503608,1,-34.19898524999994,2748883.0077138497,1
2025-04-23 10:30:00,2594.8,2661.8813,67.08129999999983,33.540649999999914,7531219.863153608,0,12.242337249999968,2748895.2500511,0
2025-04-23 11:00:00,3220.0,2653.3425,-566.6574999999998,-283.3287499999999,7530936.534403607,1,-103.41499374999997,2748791.83505735,1
2025-04-23 11:30:00,2692.0,2648.4639,-43.536099999999806,-21.768049999999903,7530914.766353607,1,-7.945338249999964,2748783.8897190997,1
2025-04-23 12:00:00,2233.2,2648.8262,415.62620000000015,207.81310000000008,7531122.579453607,0,75.85178150000003,2748859.7415006,0
2025-04-23 12:30:00,3792.4,2649.1367,-1143.2633,-571.63165,7530550.947803607,1,-208.64555225,2748651.0959483497,1
2025-04-23 13:00:00,2326.0,2654.4753,328.47530000000006,164.23765000000003,7530715.185453607,0,59.94674225000001,2748711.0426906,0
2025-04-23 13:30:00,3020.8,2655.7356,-365.0644000000002,-182.5322000000001,7530532.6532536065,1,-66.62425300000004,2748644.4184375997,1
2025-04-23 14:00:00,2582.4,2640.7417,58.341699999999946,29.170849999999973,7530561.824103607,0,10.64736024999999,2748655.0657978496,0
2025-04-23 14:30:00,2995.6,2654.342,-341.2579999999998,-170.6289999999999,7530391.195103607,1,-62.27958499999996,2748592.7862128494,1
2025-04-23 15:00:00,2966.2,2655.1184,-311.0816,-155.5408,7530235.654303607,1,-56.772391999999996,2748536.0138208494,1
2025-04-23 15:30:00,2913.4,2628.9592,-284.4408000000003,-142.22040000000015,7530093.433903608,1,-51.91044600000006,2748484.1033748495,1
2025-04-23 16:00:00,2745.8,2645.0845,-100.71550000000023,-50.35775000000013,7530043.076153607,1,-18.380578750000048,2748465.7227960997,1
2025-04-23 16:30:00,1971.6,2620.1692,648.5691999999999,324.28459999999995,7530367.360753607,0,118.36387899999998,2748584.0866750996,0
2025-04-23 17:00:00,1329.0,2618.3962,1289.3962,644.6981000000001,7531012.058853607,0,235.31480650000003,2748819.4014815995,0
2025-04-23 17:30:00,1042.8,2584.6926,1541.8926,770.9463,7531783.005153607,0,281.3953995,2749100.7968810997,0
2025-04-23 18:00:00,862.6,2575.0437,1712.4437000000005,856.2218500000001,7532639.227003607,0,312.52097525000005,2749413.3178563495,0
2025-04-23 18:30:00,862.6,2536.3916,1673.7916,836.8958,7533476.122803607,0,305.466967,2749718.7848233497,0
2025-04-23 19:00:00,891.0,2411.408,1520.408,760.204,7534236.326803607,0,277.47445999999997,2749996.25928335,0
