DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,TOU Period,TOU Rate (RM/kWh),TOU Cost Savings (RM),Cumulative TOU Cost Savings (RM),Negative TOU Savings Flag
2025-09-26 17:00:00,1717.2082,2904.0435,1186.8353000000002,593.4176500000001,12791357.072514212,0,mid,0.357,211.85010105000003,4128296.5140866144,0
2025-09-26 17:30:00,1043.4048,2872.956,1829.5512,914.7756,12792271.848114211,0,mid,0.357,326.57488920000003,4128623.088975814,0
2025-09-26 18:00:00,480.2014,2839.4365,2359.2351,1179.61755,12793451.465664212,0,mid,0.357,421.12346534999995,4129044.212441164,0
2025-09-26 18:30:00,482.8004,2826.4185,2343.6181,1171.80905,12794623.274714213,0,mid,0.357,418.33583085,4129462.548272014,0
2025-09-26 19:00:00,315.8,2807.69,2491.89,1245.945,12795869.219714211,0,mid,0.357,444.80236499999995,4129907.350637014,0
2025-09-26 19:30:00,343.4,2801.2515,2457.8515,1228.92575,12797098.145464212,0,mid,0.357,438.72649275000003,4130346.077129764,0
2025-09-26 20:00:00,297.0,2796.7732,2499.7732,1249.8866,12798348.032064212,0,mid,0.357,446.2095162,4130792.286645964,0
2025-09-26 20:30:00,318.8,2787.428,2468.628,1234.314,12799582.346064212,0,mid,0.357,440.650098,4131232.936743964,0
2025-09-26 21:00:00,370.4,2770.8506,2400.4506,1200.2253,12800782.57136421,0,mid,0.357,428.48043210000003,4131661.417176064,0
2025-09-26 21:30:00,317.2,2767.3186,2450.1186,1225.0593,12802007.63066421,0,mid,0.357,437.34617009999994,4132098.763346164,0
2025-09-26 22:00:00,336.2,2772.9531,2436.7531000000004,1218.3765500000002,12803226.00721421,0,offpeak,0.281,342.3638105500001,4132441.127156714,0
2025-09-26 22:30:00,391.2,2777.2842,2386.0842,1193.0421,12804419.04931421,0,offpeak,0.281,335.2448301,4132776.371986814,0
2025-09-26 23:00:00,338.0,2761.9436,2423.9436,1211.9718,12805631.02111421,0,offpeak,0.281,340.56407580000007,4133116.936062614,0
2025-09-26 23:30:00,302.8,2757.3943,2454.5943,1227.29715,12806858.31826421,0,offpeak,0.281,344.87049915000006,4133461.806561764,0
2025-09-27 00:00:00,326.6,2751.2395,2424.6395,1212.31975,12808070.63801421,0,offpeak,0.281,340.66184975000004,4133802.468411514,0
2025-09-27 00:30:00,303.6,2752.4604,2448.8604,1224.4302,12809295.06821421,0,offpeak,0.281,344.06488620000005,4134146.533297714,0
2025-09-27 01:00:00,317.0,2746.0598,2429.0598,1214.5299,12810509.59811421,0,offpeak,0.281,341.2829019,4134487.8161996137,0
2025-09-27 01:30:00,261.8,2745.7136,2483.9136,1241.9568,12811751.55491421,0,offpeak,0.281,348.98986080000003,4134836.806060414,0
2025-09-27 02:00:00,281.2,2744.52,2463.32,1231.66,12812983.21491421,0,offpeak,0.281,346.09646000000004,4135182.902520414,0
