DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,CO2 Avoided (kg),Cumulative CO2 Avoided (kg),Cumulative CO2 Avoided (tonnes)
2025-06-28 03:00:00,54.6,1904.7153,1850.1153,925.05765,9247699.129359258,0,715.9946211,7157719.126124132,7157.719126124132
2025-06-28 03:30:00,54.79999999999998,1816.9552,1762.1552,881.0776000000001,9248580.20695926,0,681.9540624000001,7158401.080186533,7158.401080186532
2025-06-28 04:00:00,53.0,1765.2736,1712.2736,856.1368,9249436.34375926,0,662.6498832,7159063.730069733,7159.0637300697335
2025-06-28 04:30:00,56.274000000000015,1776.1268,1719.8528,859.9264,9250296.27015926,0,665.5830336,7159729.313103333,7159.729313103333
2025-06-28 05:00:00,52.80000000000001,1730.7367,1677.9367,838.96835,9251135.23850926,0,649.3615029,7160378.674606233,7160.378674606233
2025-06-28 05:30:00,53.4,1735.4143,1682.0142999999998,841.0071499999999,9251976.24565926,0,650.9395341,7161029.614140333,7161.029614140332
2025-06-28 06:00:00,51.20000000000002,1732.2892,1681.0892,840.5446,9252816.79025926,0,650.5815203999999,7161680.195660733,7161.680195660732
2025-06-28 06:30:00,76.2002,1859.7958,1783.5956,891.7978,9253708.58805926,0,690.2514972,7162370.447157932,7162.370447157932
2025-06-28 07:00:00,286.8004,2294.9744,2008.174,1004.087,9254712.67505926,0,777.1633380000001,7163147.610495932,7163.147610495932
2025-06-28 07:30:00,349.4014,2537.7456,2188.3442,1094.1721,9255806.84715926,0,846.8892054,7163994.499701332,7163.994499701333
2025-06-28 08:00:00,355.803,2569.017,2213.214,1106.607,9256913.454159262,0,856.513818,7164851.013519333,7164.851013519333
2025-06-28 08:30:00,650.4074,2563.1611,1912.7537,956.37685,9257869.83100926,0,740.2356819,7165591.249201233,7165.591249201232
2025-06-28 09:00:00,853.8116,2556.0247,1702.2131,851.10655,9258720.937559262,0,658.7564697,7166250.005670932,7166.250005670932
2025-06-28 09:30:00,1192.415,2553.6113,1361.1963,680.59815,9259401.535709262,0,526.7829681000001,7166776.788639032,7166.776788639032
2025-06-28 10:00:00,1303.8186,2564.4436,1260.625,630.3125,9260031.848209262,0,487.861875,7167264.650514033,7167.264650514033
2025-06-28 10:30:00,1492.4206,2568.9014,1076.4808000000005,538.2404000000001,9260570.08860926,0,416.59806960000014,7167681.2485836325,7167.681248583633
2025-06-28 11:00:00,1154.8248,2570.4846,1415.6597999999997,707.8298999999998,9261277.918509262,0,547.8603425999999,7168229.108926233,7168.229108926233
2025-06-28 11:30:00,1327.6086,2571.5276,1243.919,621.9594999999999,9261899.878009262,0,481.39665299999996,7168710.505579233,7168.7105055792335
2025-06-28 12:00:00,739.4184,2568.227,1828.8086,914.4043,9262814.282309262,0,707.7489282,7169418.254507434,7169.418254507434
2025-06-28 12:30:00,2158.8282000000004,2563.6282,404.7999999999997,202.39999999999984,9263016.682309262,0,156.6575999999999,7169574.912107433,7169.574912107433
2025-06-28 13:00:00,2035.425,2563.35,527.925,263.9625,9263280.644809265,0,204.306975,7169779.219082433,7169.779219082433
2025-06-28 13:30:00,2319.221,2560.392,241.17099999999985,120.58549999999993,9263401.230309265,0,93.33317699999995,7169872.552259433,7169.872552259433
2025-06-28 14:00:00,856.2076,2555.6885,1699.4809000000002,849.7404500000001,9264250.970759263,0,657.6991083000001,7170530.251367733,7170.5302513677325
2025-06-28 14:30:00,635.6062,2555.7544,1920.1482,960.0741,9265211.044859264,0,743.0973534000001,7171273.348721133,7171.273348721133
2025-06-28 15:00:00,803.4048,2555.6594,1752.2546,876.1273,9266087.172159264,0,678.1225302,7171951.471251332,7171.951471251332
2025-06-28 15:30:00,996.0202,2552.513,1556.4928,778.2464,9266865.418559264,0,602.3627136,7172553.833964932,7172.553833964932
2025-06-28 16:00:00,1665.8178,2549.8516,884.0337999999999,442.0169,9267307.435459264,0,342.1210806,7172895.9550455315,7172.895955045531
2025-06-28 16:30:00,1476.8144,2547.7493,1070.9349,535.46745,9267842.902909264,0,414.4518063,7173310.406851832,7173.310406851831
2025-06-28 17:00:00,1206.2124,2528.5889,1322.3765000000003,661.1882500000002,9268504.091159264,0,511.7597055000001,7173822.166557332,7173.822166557332
