DateTime,Actual,Baseline,Savings_kW,Savings_kWh,Cumulative_Savings_kWh
2024-03-10 22:30:00,419.9273333333333,445.1224,25.19506666666672,12.59753333333336,13068.093276098145
2024-03-10 23:00:00,360.3296666666667,438.18332,77.85365333333328,38.92682666666664,13107.02010276481
2024-03-10 23:30:00,372.9688333333333,382.67795,9.709116666666716,4.854558333333358,13111.874661098143
2024-03-11 00:00:00,367.9675,395.61725,27.64975000000004,13.82487500000002,13125.699536098144
2024-03-11 00:30:00,364.1475,310.5787,-53.56879999999995,-26.784399999999977,13098.915136098143
2024-03-11 01:00:00,365.9886666666667,386.035,20.046333333333337,10.023166666666668,13108.93830276481
2024-03-11 01:30:00,352.9265,345.1095,-7.81699999999995,-3.908499999999975,13105.02980276481
2024-03-11 02:00:00,341.3985,320.66364,-20.734860000000026,-10.367430000000013,13094.66237276481
2024-03-11 02:30:00,344.6718333333333,312.06256,-32.609273333333306,-16.304636666666653,13078.357736098144
2024-03-11 03:00:00,349.10266666666666,314.99524,-34.10742666666664,-17.05371333333332,13061.30402276481
2024-03-11 03:30:00,358.75125,325.2376,-33.51365000000004,-16.75682500000002,13044.54719776481
2024-03-11 04:00:00,352.3901666666667,338.45773,-13.93243666666666,-6.96621833333333,13037.580979431477
2024-03-11 04:30:00,347.776,365.58923,17.813229999999976,8.906614999999988,13046.487594431477
2024-03-11 05:00:00,347.92466666666667,368.03354,20.10887333333335,10.054436666666675,13056.542031098144
2024-03-11 05:30:00,327.1046666666667,426.91797,99.81330333333335,49.906651666666676,13106.44868276481
2024-03-11 06:00:00,329.2975,482.1976,152.9001,76.45005,13182.89873276481
2024-03-11 06:30:00,434.2755,633.5005,199.22499999999997,99.61249999999998,13282.51123276481
2024-03-11 07:00:00,1251.6755833333334,890.141,-361.53458333333344,-180.76729166666672,13101.743941098142
2024-03-11 07:30:00,2069.0756666666666,2085.663,16.58733333333339,8.293666666666695,13110.037607764809
2024-03-11 08:00:00,2120.4781666666663,2288.5247,168.04653333333363,84.02326666666681,13194.060874431476
2024-03-11 08:30:00,2123.587166666667,2160.1677,36.58053333333282,18.29026666666641,13212.351141098143
2024-03-11 09:00:00,2194.6111666666666,2256.7136,62.102433333333465,31.051216666666733,13243.40235776481
2024-03-11 09:30:00,2256.2896666666666,2293.3784,37.088733333333494,18.544366666666747,13261.946724431476
2024-03-11 10:00:00,2171.1061666666665,2352.3008,181.1946333333335,90.59731666666676,13352.544041098143
2024-03-11 10:30:00,2336.151333333333,2297.5613,-38.59003333333294,-19.29501666666647,13333.249024431476
2024-03-11 11:00:00,2380.7441666666664,2405.5566,24.8124333333335,12.40621666666675,13345.655241098142
2024-03-11 11:30:00,2309.3235,2383.3123,73.98880000000008,36.99440000000004,13382.649641098142
2024-03-11 12:00:00,2342.5166666666664,2378.7002,36.1835333333338,18.0917666666669,13400.741407764808
2024-03-11 12:30:00,2288.012,2360.7305,72.71849999999995,36.359249999999975,13437.100657764808
2024-03-11 13:00:00,2224.47,2337.9624,113.49240000000009,56.746200000000044,13493.846857764807
2024-03-11 13:30:00,2342.588,2278.483,-64.10500000000002,-32.05250000000001,13461.794357764808
2024-03-11 14:00:00,2350.8185,2350.1118,-0.7066999999997279,-0.35334999999986394,13461.441007764808
2024-03-11 14:30:00,2280.907333333333,2319.2925,38.38516666666692,19.19258333333346,13480.633591098142
2024-03-11 15:00:00,2327.9776666666667,2258.55,-69.42766666666648,-34.71383333333324,13445.919757764808
